pc_pxcode;pc_order_child;pc_pxname;pc_pxcode_loinc;pc_pxcode_loinc_display;pc_pxcode_speciment_code;pc_pxcode_speciment_name;pc_unit;pc_normal;pc_min_normal;pc_max_normal;pc_min_l;pc_max_l;pc_min_p;pc_max_p;pc_normal_l;pc_normal_p;pc_barcode;pc_remarks;pc_method
;;;;;;;;;;;;;;;;;;;
A0101;;Pemeriksaan Fisik;;;;;;;;;;;;;;;;; 
A0102;;Analisa Cairan Pleura;;;;;;;;;;;;;;;;; 
A010201;;Makroskopis;;;;;;;;;;;;;;;;; 
A01020101;;Kejernihan;;;;;;;;;;;;;;;;; 
A01020102;;Warna;;;;;;;;;;;;;;;;; 
A01020103;;Berat Jenis;;;;;;;;;;;;;;;;; 
A01020104;;Bau;;;;;;;;;;;;;;;;; 
A01020105;;Bekuan;;;;;;;;;;;;;;;;; 
A01020106;;pH;;;;;;;;;;;;;;;;; 
A010202;;Mikroskopis;;;;;;;;;;;;;;;;; 
A01020201;;Jumlah Sel Leukosit;;;;;;;;;;;;;;;;; 
A01020202;;Jumlah Sel Eritrosit;;;;;;;;;;;;;;;;; 
A01020203;;Hitung Jenis Leukosit;;;;;;;;;;;;;;;;; 
A0102020301;;Lymposit;;;;;;;;;;;;;;;;; 
A0102020302;;Segmen;;;;;;;;;;;;;;;;; 
A0102020303;;Monosit;;;;;;;;;;;;;;;;; 
A01020204;;Pewarnaan Gram;;;;;;;;;;;;;;;;; 
A01020205;;Pewarnaan BTA;;;;;;;;;;;;;;;;; 
A010203;;Test Kimia;;;;;;;;;;;;;;;;; 
A01020301;;#NAME?;;;;;;;;;;;;;;;;; 
A01020302;;#NAME?;;;;;;;;;;;;;;;;; 
A010204;;Tes Rivalta;;;;;;;;;;;;;;;;; 
A0103;;Sekret Vagina;;;;;;;;;;;;;;;;; 
A010301;;Trichomonas;;;;;;;;;;;;;;;;; 
A010302;;Prep. KOH;;;;;;;;;;;;;;;;; 
A010303;;Prep. Gram;;;;;;;;;;;;;;;;; 
A010304;;Leukosit;;;;;;;;;;;;;;;;; 
A0104;;Sekret Urethra;;;;;;;;;;;;;;;;; 
A010401;;Trichomonas;;;;;;;;;;;;;;;;; 
A010402;;Prep. KOH;;;;;;;;;;;;;;;;; 
A010403;;Prep. Gram;;;;;;;;;;;;;;;;; 
A010404;;Leukosit;;;;;;;;;;;;;;;;; 
A0105;;CITO;;;;;;;;;;;;;;;;; 
A0106;;PA Jaringan Kecil;;;;;;;;;;;;;;;;; 
A0107;;PA Jaringan Sedang;;;;;;;;;;;;;;;;; 
A0108;;PA Jaringan Besar;;;;;;;;;;;;;;;;; 
A0109;;PA Jaringan (Cairan Pleura);;;;;;;;;;;;;;;;; 
A0111;;Kultur dan Resistensi Antibiotik (Vagina);;;;;;;;;;;;;;;;; 
A0113;;Home Service 1;;;;;;;;;;;;;;;;; 
A0114;;Home Service 2;;;;;;;;;;;;;;;;; 
A0115;;Home Service 3;;;;;;;;;;;;;;;;; 
A0116;;CITO 2;;;;;;;;;;;;;;;;; 
A0117;;Pap Smear;;;;;;;;;;;;;;;;; 
A0118;;PA Jaringan Sedang 2;;;;;;;;;;;;;;;;; 
A0119;;Pemeriksaan Fisik;;;;;;;;;;;;;;;;; 
A0120;;PA Jaringan Besar 2;;;;;;;;;;;;;;;;; 
A0122;;Pap Smear Rujukan;;;;;;;;;;;;;;;;; 
A0123;;PA Jaringan kecil 2;;;;;;;;;;;;;;;;; 
A0124;;Home Service 4;;;;;;;;;;;;;;;;; 
A0125;;;;;;;;;;;;;;;;;;; 
A0126;;Tes Fisik;;;;;;;;;;;;;;;;; 
A0127;;Home Service 5;;;;;;;;;;;;;;;;; 
A0128;;Home Service 6;;;;;;;;;;;;;;;;; 
A0129;;Mantoux test;;;;;;Negatif :<BR>Indurasi < 6 mm<BR>Positif :<BR>Indurasi >= 6 mm;;;;;;;;;;; 
A0130;;Cairan Asites;;;;;;;;;;;;;;;;; 
A0131;;TTNA;;;;;;;;;;;;;;;;; 
